,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
342,inhambane,mz,-26.731427632519527,39.56594615082969,72.13,100,0,20.62
343,belmonte,br,-16.596131373453005,-31.202418905347084,73.03,100,8,5.97
344,elko,us,41.66485388424414,-115.74166773894356,57.1,38,24,2.95
345,sentyabrskiy,ru,27.86003415712797,161.26544140840238,82.03,96,64,10.22
346,christchurch,nz,-49.01547553528691,177.299817372034,44.68,100,80,12.68
347,talara,pe,-5.672452731293233,-86.39045315716139,67.63,100,8,17.6
348,acacoyagua,mx,15.483376485457613,-92.72039974582175,78.88,87,0,2.51
349,raudeberg,no,67.09267637148984,1.420236796155614,54.31,100,80,20.29
350,kupang,id,-9.624892975526503,123.44340610599818,77,78,20,6.93
351,ilhabela,br,-27.72518424588181,-42.936600361315286,67,100,48,10.45
352,fort myers beach,us,26.299793140223045,-82.56782007501575,85.99,100,20,6.53
353,kapit,my,1.5027056756738533,114.63582411087818,66.01,98,68,2.06
354,barkly west,za,-28.56061321553598,24.31825504433507,60.8,26,20,17.22
355,camargo,bo,-20.171374561752206,-64.65771567978386,52.78,61,64,1.95
